Country,Year,Status,Life expectancy,Adult Mortality,Alcohol,Percentage expenditure,BMI,Under-five deaths,Total expenditure,GDP,Population,Thinness 1-19 years,Thinness 5-9 years,Income composition of resources,Schooling,Average temperature,CO2 Emissions,Colesterol,Fumar
Croatia,2009,0,76.3,19,12.21,1187.55,6,0,8.18,14157.14416,442978,1.7,1.6,0.803,14.2,12.25,4.7,3.8,
Croatia,2010,0,76.6,16,12.1,1126.37,6.6,0,8.25,1355.74586,4417781,1.6,1.6,0.803,14.2,11.37,4.5,3.7,35.4
Croatia,2011,0,77,14,12.19,1132.5,61.3,0,7.8,14539.18421,428622,1.6,1.5,0.808,14.5,12.26,4.4,3.7,
Croatia,2012,0,77.1,14,11.49,1029.97,61.9,0,7.8,13235.97757,4267558,1.5,1.5,0.815,14.6,12.43,4.1,3.7,
Croatia,2013,0,77.7,97,12.39,889.94,62.5,0,7.83,13574.749,4255689,1.5,1.5,0.817,14.9,12.15,4,3.7,
Croatia,2014,0,77.8,97,12.14,909.37,63.1,0,7.8,13467.46827,4238389,1.5,1.5,0.82,15.1,11.78,3.8,3.7,
Croatia,2015,0,78,95,9.64,795.51,63.7,0,6.7,11579.6674,42364,1.5,1.4,0.823,15.3,12.67,3.9,3.7,36.1
Czechia,2000,0,74.7,126,13.22,342.92,59,0,6.31,6029,10.255.063,2.3,2.3,0.808,13.9,9.26,12.2,3.9,34.2
Czechia,2001,0,75.1,123,13.36,388.54,59.4,0,6.42,6637,10.216.605,2.2,2.3,0.818,14.3,8.06,12.2,3.9,
Czechia,2002,0,75.3,12,13.47,497.74,59.9,0,6.8,8060.9,10.196.916,2.2,2.3,0.825,14.6,8.79,11.8,3.8,
Czechia,2003,0,75.2,122,13.01,640.66,6.4,0,7.13,9818.6,10.193.998,2.2,2.2,0.831,14.9,8.44,12.1,3.8,
Czechia,2004,0,75.8,116,13.24,746.33,6.8,0,6.9,11749.9,10.197.101,2.1,2.2,0.836,14.6,8.07,12.1,3.8,
Czechia,2005,0,75.9,114,13.19,852.65,61.3,0,6.93,13430.7,10.211.216,2.1,2.1,0.844,14.9,7.91,11.9,3.7,33.4
Czechia,2006,0,76.5,19,13.03,942.12,61.8,0,6.69,15261.8,10.238.905,2,2.1,0.852,15,8.43,12,3.7,
Czechia,2007,0,76.8,17,13.43,1110.18,62.2,0,6.52,18466.5,10.298.828,2,2.1,0.859,15.3,9.19,12.1,3.7,
Czechia,2008,0,77,16,13.25,1449.34,62.6,0,6.82,22804.6,10.384.603,1.9,2,0.863,15.5,9.02,11.4,3.6,
Czechia,2009,0,77.1,12,13.23,1442.24,63.1,0,7.85,19861.7,10.443.936,1.9,2,0.865,15.9,8.65,10.8,3.6,
Czechia,2010,0,77.5,99,12.69,1373.93,63.6,0,7.43,19960.1,10.474.410,1.9,2,0.87,16,7.42,10.9,3.6,32.3
Czechia,2011,0,77.8,97,12.43,1516.56,64,0,7.5,21871.3,10.496.088,1.9,1.9,0.872,16.1,8.9,10.6,3.5,
Czechia,2012,0,78,93,12.71,1387.41,64.5,0,7.55,19870.8,10.510.785,1.8,1.9,0.874,16.1,8.67,10.2,3.5,
Czechia,2013,0,78.2,9,12.45,1554.51,65.1,0,7.49,20133.2,10.514.272,1.8,1.9,0.881,16.7,8.3,9.8,3.5,
Czechia,2014,0,78.6,88,12.68,1512.93,65.6,0,7.41,19890.9,10.525.347,1.8,1.9,0.887,16.8,9.75,9.5,3.5,
Czechia,2015,0,78.8,86,12.76,1284.05,66.1,0,7.2,17829.7,10.546.059,1.8,1.8,0.891,16.9,9.64,9.6,3.5,31.4
Denmark,2000,0,76.9,12,11.69,2496.05,52.2,0,8.7,3743.55917,5339616,1.3,1,0.86,16.5,9.35,9.9,3.8,37.3
Denmark,2001,0,77,12,11.56,2602.64,52.8,0,9.1,3751.64946,5358783,1.3,1,0.862,16.2,8.39,10.1,3.8,
Denmark,2002,0,77,14,11.34,2895.81,53.3,0,9.33,33228.69291,5375931,1.2,1,0.875,16.6,9.2,10,3.7,
Denmark,2003,0,77.3,11,11.54,3607.04,53.9,0,9.51,4458.7764,539574,1.2,1,0.882,16.3,8.75,11,3.7,
Denmark,2004,0,77.7,98,11.27,4194.87,54.4,0,9.67,46511.6457,544523,1.2,1,0.893,16.5,8.74,9.9,3.7,
Denmark,2005,0,78.1,92,11.28,4442.76,55,0,9.77,48799.8237,5419432,1.2,1,0.897,16.6,8.84,9.3,3.6,30.8
Denmark,2006,0,78.1,93,11.02,4778.89,55.4,0,9.92,5226.99311,5437272,1.2,0.9,0.902,16.9,9.43,10.7,3.6,
Denmark,2007,0,78.4,93,10.99,5468.38,55.9,0,9.99,58487.451,5461438,1.2,0.9,0.904,16.7,9.59,9.8,3.5,
Denmark,2008,0,78.8,88,10.7,6137.78,56.3,0,1.18,64322.6664,5493621,1.1,0.9,0.906,16.8,9.58,9.1,3.5,
Denmark,2009,0,78.9,86,10.08,6221.69,56.6,0,11.47,58163.29359,552395,1.1,0.9,0.906,16.8,8.94,8.7,3.5,
Denmark,2010,0,79.2,84,10.28,6171.29,57,0,11.8,5841.41122,5547683,1.1,0.9,0.906,16.8,7.19,8.7,3.4,25.5
Denmark,2011,0,79.7,79,10.47,6438.21,57.4,0,1.87,61753.667,557572,1.1,0.9,0.91,16.9,9.15,7.7,3.4,
Denmark,2012,0,80,76,9.26,6168.34,57.7,0,1.98,5857.521,5591572,1.1,0.9,0.922,18.4,8.53,6.8,3.3,
Denmark,2013,0,81,75,9.5,6334.42,58.1,0,11.25,61191.19263,5614932,1.1,0.9,0.924,18.7,8.67,7.1,3.3,
Denmark,2014,0,84,73,9.64,6466.9,58.4,0,1.8,62425.5392,5643475,1.1,0.9,0.926,19.2,10.21,6.3,3.2,
Denmark,2015,0,86,71,9.42,5531.88,58.8,0,10.34,5314.64416,5683483,1.1,0.9,0.923,19.2,9.38,5.9,3.2,21.1
Estonia,2000,1,78,218,9.03,209.71,54,0,5.28,47.32827,1396985,2.5,2.5,0.764,14.4,7.07,10.7,3.9,46
Estonia,2001,1,78,225,10.1,214.7,54.3,0,4.85,4498.95727,1388115,2.4,2.5,0.781,15,6.07,11,3.9,
Estonia,2002,1,71.2,211,11.48,250.48,54.6,0,4.84,538.347781,137935,2.3,2.4,0.791,15.4,6.24,10.7,3.8,
Estonia,2003,1,71.9,199,11.64,349.06,54.9,0,4.92,7174.237415,13772,2.2,2.3,0.798,15.6,5.8,12.2,3.8,
Estonia,2004,1,72.3,195,15.07,455.07,55.2,0,5.13,885.465115,136255,2.2,2.3,0.805,15.7,5.99,12.3,3.8,
Estonia,2005,1,72.8,189,15.52,524.68,55.5,0,5.2,1338.31322,1354775,2.1,2.2,0.812,15.9,6.14,12.4,3.8,41.6
Estonia,2006,1,73,188,16.58,600.51,55.9,0,5.1,12595.4165,134681,2.1,2.2,0.822,16.1,6.6,11.9,3.7,
Estonia,2007,1,73,189,17.87,832.73,56.3,0,5.16,16586.452,13468,2,2.1,0.829,16.1,6.74,14.7,3.7,
Estonia,2008,1,74.2,167,16.99,1038.56,56.7,0,6.6,1894.5485,13379,2,2.1,0.835,16.1,7.25,13.1,3.7,
Estonia,2009,1,74.9,156,15.04,963.02,57.1,0,6.93,14726.31828,1334515,2,2,0.836,16.1,6.04,10.5,3.7,
Estonia,2010,1,75.6,137,14.97,926.45,57.6,0,6.25,14638.6482,1331475,1.9,2,0.833,16.2,4.95,13.9,3.7,37.2
Estonia,2011,1,76.1,138,16.27,1015.97,58,0,5.83,17454.84342,1327439,1.9,2,0.838,16.4,6.95,13.9,3.6,
Estonia,2012,1,76.3,135,16.96,1013.31,58.5,0,6.36,17421.8922,1322696,1.9,1.9,0.85,16.5,5.61,12.8,3.6,
Estonia,2013,1,76.9,127,17.75,1144.65,59,0,6.48,1929.7746,1317997,1.9,1.9,0.856,16.5,6.76,14.3,3.6,
Estonia,2014,1,77.3,122,17.49,1287.76,59.4,0,6.38,19941.45532,1314545,1.9,1.9,0.86,16.5,6.96,13.4,3.6,
Estonia,2015,1,77.6,119,16.72,1156.2,59.9,0,6.64,1774.9291,131547,1.9,1.9,0.863,16.5,7.39,10.9,3.6,33.3
Finland,2000,1,77.5,15,8.59,1726.74,55.5,0,7.22,24253.2542,517629,0.9,0.9,0.847,17.3,3.27,10.6,3.8,35.7
Finland,2001,1,78,1,8.94,1810.39,56.1,0,7.43,24913.24452,51888,0.9,0.8,0.856,17.7,1.9,11.8,3.8,
Finland,2002,1,78.1,98,9.25,2059.31,56.6,0,7.81,26834.2625,52598,0.9,0.8,0.863,18,1.98,12.2,3.7,
Finland,2003,1,78.4,98,9.31,2613.83,57.1,0,8.15,32816.1688,521314,0.9,0.8,0.866,18.1,2.24,13.8,3.7,
Finland,2004,1,78.7,12,9.89,3044.13,57.6,0,8.21,37636.11173,5228172,0.9,0.8,0.869,18.3,2.33,12.9,3.6,
Finland,2005,1,78.9,11,9.95,3236.87,58.1,0,8.43,38969.17163,524696,0.9,0.8,0.864,17.1,3,10.6,3.6,31.4
Finland,2006,1,79.2,96,10.15,3414.94,58.6,0,8.38,4112.67651,5266268,0.9,0.8,0.869,17.2,2.74,12.7,3.5,
Finland,2007,1,79.3,96,10.45,3918.66,59,0,8.9,48288.5491,528872,0.9,0.8,0.873,17.2,2.96,12.3,3.5,
Finland,2008,1,79.6,94,10.26,4486.36,59.4,0,8.35,5341.31487,5313399,0.9,0.8,0.876,17.1,3,10.7,3.5,
Finland,2009,1,79.7,91,9.96,4349.93,59.8,0,9.2,4717.15571,5338871,0.9,0.8,0.878,17,2.23,10.1,3.5,
Finland,2010,1,79.9,89,9.72,4251.59,6.2,0,9.5,4622.41516,5363352,0.9,0.8,0.874,16.8,0.95,11.7,3.5,27.8
Finland,2011,1,83,86,9.81,4717.57,6.6,0,9.1,579.72415,5388272,0.9,0.8,0.878,16.9,3.39,10.2,3.5,
Finland,2012,1,84,82,9.24,4573.29,61,0,9.3,47415.55987,5413971,0.9,0.8,0.884,17,1.63,9.1,3.5,
Finland,2013,1,87,79,8.97,4892.2,61.4,0,9.55,49638.7713,5438972,0.9,0.8,0.887,17,3.2,9.2,3.5,
Finland,2014,1,89,78,8.8,4922.65,61.7,0,9.68,49914.61864,5461512,0.9,0.8,0.89,17,3.33,8.5,3.4,
Finland,2015,1,81.1,76,8.52,4128.4,62.1,0,9.65,4245.39744,5479531,0.9,0.8,0.893,17,3.6,7.8,3.4,24.5
France,2000,1,78.8,13,13.63,2161.85,54.6,4,9.77,22465.64184,6912498,0.7,0.6,0.844,15.7,11.85,6.1,3.8,34.2
France,2001,1,79,13,13.89,2192.72,55.2,4,9.89,22527.31775,61357431,0.7,0.6,0.849,15.6,11.41,6.1,3.8,
France,2002,1,79.2,11,13.78,2449.76,55.8,4,1.22,24275.2426,6185267,0.7,0.6,0.851,15.5,11.84,6,3.8,
France,2003,1,79.3,99,13.49,3006.31,56.4,4,1.43,29691.18158,62244884,0.6,0.6,0.852,15.4,11.88,6.1,3.8,
France,2004,1,82,94,13.18,3458.63,57,4,1.53,33874.74255,6274897,0.6,0.6,0.857,15.5,11.36,6,3.8,
France,2005,1,81,93,12.2,3575.03,57.5,4,1.6,34879.72633,63179356,0.6,0.6,0.86,15.5,11.35,6,3.7,34.1
France,2006,1,86,92,12.4,3811.55,58,4,1.53,36544.5853,63621376,0.6,0.6,0.87,16.1,11.83,5.8,3.7,
France,2007,1,89,89,12.2,4312.31,58.6,3,1.45,416.58397,6416229,0.6,0.6,0.873,16.1,11.62,5.7,3.7,
France,2008,1,89,88,11.9,4807.37,59.1,3,1.57,45413.6571,6437499,0.6,0.6,0.877,16.1,11.31,5.6,3.7,
France,2009,1,81.1,88,11.8,4737.58,59.6,3,11.28,41631.13141,647744,0.6,0.6,0.879,16,11.7,5.3,3.7,
France,2010,1,81.3,86,11.7,4592.38,6.1,3,11.2,473.34279,6527512,0.6,0.6,0.879,16,10.63,5.4,3.7,33.8
France,2011,1,81.7,83,11.8,4931.88,6.6,3,11.33,4381.288,65342776,0.6,0.6,0.882,16.1,12.31,5.1,3.7,
France,2012,1,81.5,83,11.5,4644.6,61.1,3,11.44,4838.2444,6565979,0.6,0.6,0.885,16.1,11.54,5.2,3.7,
France,2013,1,82,81,11.1,4888.47,61.6,3,11.56,42554.1225,6599857,0.6,0.6,0.887,16.2,11.1,5.1,3.6,
France,2014,1,82.2,79,11.5,4878.56,62,3,11.54,42955.24287,66331957,0.6,0.6,0.89,16.2,12.48,4.6,3.6,
France,2015,1,82.4,78,11.87,4199.07,62.5,3,11.44,36526.7711,6662468,0.7,0.6,0.894,16.3,12.17,4.7,3.6,33.7
Germany,2000,0,78,95,12.91,2344.35,55.1,4,1.1,23718.7467,8221158,1.2,1.2,0.855,16.1,10.09,10.1,3.9,36.4
Germany,2001,0,78.3,92,12.46,2346.67,55.6,4,1.15,23687.31689,82349925,1.2,1.1,0.86,16.2,9.21,10.3,3.9,
Germany,2002,0,78.4,91,12.25,2567.5,56.1,4,1.4,2525.16445,82488495,1.2,1.1,0.867,16.2,9.75,10.1,3.9,
Germany,2003,0,78.5,9,11.92,3152.79,56.6,4,1.62,3359.95215,82534176,1.1,1.1,0.872,16.3,9.57,10.1,3.8,
Germany,2004,0,79.1,86,11.83,3459.82,57.1,3,1.37,34165.9343,8251626,1.1,1.1,0.877,16.3,9.14,10,3.8,
Germany,2005,0,79.2,85,11.67,3558.21,57.6,3,1.52,34696.6292,82469422,1.1,1.1,0.884,16.4,9.26,9.7,3.7,32.1
Germany,2006,0,79.6,84,11.76,3698.04,58,3,1.34,36447.87232,82376451,1.1,1.1,0.892,16.4,9.82,9.9,3.7,
Germany,2007,0,79.8,82,11.5,4182.92,58.5,3,1.18,41814.8191,82266372,1.1,1.1,0.898,16.5,10.09,9.5,3.7,
Germany,2008,0,79.9,8,11.36,4669.76,59,3,1.39,45699.19832,821197,1.1,1.1,0.903,16.6,9.76,9.6,3.7,
Germany,2009,0,80,79,11.22,4674.92,59.5,3,11.4,41732.7725,819237,1.1,1.1,0.906,16.6,9.51,9,3.6,
Germany,2010,0,81,76,11.2,4611.42,59.9,3,11.25,41785.55691,8177693,1.1,1.1,0.907,16.7,8.19,9.5,3.6,28.3
Germany,2011,0,85,74,11.2,5037.51,6.4,3,1.93,4681.32796,8274983,1.1,1.1,0.912,16.7,10.02,9.3,3.6,
Germany,2012,0,86,71,11.18,4765.69,6.9,3,1.99,4465.24891,8425823,1.1,1.1,0.916,16.8,9.45,9.5,3.5,
Germany,2013,0,86,71,10.94,5099.89,61.4,3,11.16,4653.91143,864565,1.1,1.1,0.919,16.9,9.07,9.6,3.5,
Germany,2014,0,89,69,11.03,5307.38,61.9,3,11.3,4792.65288,89825,1.1,1.1,0.92,16.9,10.64,9.1,3.5,
Germany,2015,0,81,68,11.06,4624.63,62.3,3,11.18,41176.88158,81686611,1.1,1.1,0.924,17,10.32,9.1,3.4,24.9
Greece,2000,1,78.2,84,8.48,885.41,57.4,1,7.6,1242.95373,18588,0.9,0.8,0.794,13.9,14.36,8.7,3.4,54.9
Greece,2001,1,78.7,83,8.62,1004.82,58,1,8.47,12538.17883,1862132,0.9,0.8,0.801,14.2,14.58,8.9,3.4,
Greece,2002,1,79,81,8.09,1168.82,58.6,1,8.72,1411.31339,19222,0.8,0.8,0.811,14.6,14.27,8.9,3.4,
Greece,2003,1,79.1,81,9.46,1566.41,59.2,1,8.61,18477.57841,19287,0.8,0.8,0.823,15.2,14.08,9.2,3.4,
Greece,2004,1,79.2,81,9.56,1782.7,59.9,1,8.3,21955.149,1955141,0.8,0.8,0.83,15.3,14.07,9.1,3.4,
Greece,2005,1,79.3,81,9.95,1935.27,6.5,1,9.36,22551.73574,1987314,0.8,0.7,0.839,15.6,13.73,9.3,3.3,48.5
Greece,2006,1,79.7,77,9.42,2052.88,61.2,1,9.34,2481.15781,112362,0.8,0.7,0.85,16.3,13.78,9.1,3.3,
Greece,2007,1,79.4,8,9.67,2426.76,61.8,0,9.41,28827.32636,1148473,0.8,0.7,0.855,16.4,14.53,9.4,3.3,
Greece,2008,1,79.9,77,9.51,2840.51,62.4,0,9.76,31997.2821,1177841,0.8,0.7,0.853,15.9,14.54,9.1,3.3,
Greece,2009,1,80,78,9.08,2809.06,63.1,0,9.76,2971.973,111717,0.8,0.7,0.857,16.2,14.47,8.5,3.3,
Greece,2010,1,83,76,9,2564.37,63.7,0,9.18,26917.75898,11121341,0.8,0.7,0.859,16.4,14.97,7.9,3.3,42.9
Greece,2011,1,85,76,8.02,2338.92,64.3,0,9.77,25916.29353,1114899,0.8,0.7,0.86,16.7,13.83,7.6,3.3,
Greece,2012,1,84,76,8.2,1948.25,64.9,0,9.24,22242.68193,114511,0.8,0.7,0.858,16.8,14.69,7.3,3.3,
Greece,2013,1,86,74,7.46,1832.03,65.4,0,9.26,21874.8195,1965211,0.8,0.7,0.86,17.1,14.74,6.6,3.3,
Greece,2014,1,88,73,7.53,1700.49,66,0,8.8,21673.7817,1892413,0.8,0.7,0.862,17.2,14.67,6.4,3.3,
Greece,2015,1,81,72,6.68,1481.42,66.5,0,8.22,187.78991,182883,0.8,0.7,0.865,17.2,14.35,6.3,3.3,37.9
Hungary,2000,0,71.7,193,12.22,313.11,56.1,1,7.6,4623.46712,121971,2.3,2.3,0.761,13.9,12.14,5.4,4,37.4
Hungary,2001,0,72.3,185,13.18,359.7,56.6,1,7.11,527.85364,1187576,2.2,2.2,0.769,14.2,11.07,5.5,4,
Hungary,2002,0,72.5,184,13.29,473.13,57.1,1,7.47,665.6443,115868,2.2,2.2,0.775,14.6,11.88,5.5,3.9,
Hungary,2003,0,72.5,184,13.24,682.87,57.6,1,8.42,8396.25323,1129552,2.1,2.1,0.784,14.9,11.12,5.7,3.9,
Hungary,2004,0,72.9,18,13.28,798.45,58.2,1,8.8,1259.5266,117146,2.1,2.1,0.793,15.3,10.82,5.6,3.9,
Hungary,2005,0,72.9,182,12.94,895.2,58.8,1,8.28,11161.72441,18765,2,2,0.795,15,10.47,5.5,3.8,35.9
Hungary,2006,0,73.4,177,13.16,893.2,59.3,1,8.1,11398.76584,17137,2,2,0.802,15.2,11.12,5.5,3.8,
Hungary,2007,0,73.5,176,12.55,1003.26,59.9,1,7.51,13842.6549,15578,1.9,1.9,0.809,15.3,12.19,5.4,3.8,
Hungary,2008,0,74.1,165,11.64,117.2,6.5,1,7.33,15669.25929,138188,1.9,1.9,0.812,15.3,12.1,5.3,3.8,
Hungary,2009,0,74.2,162,11.46,943.69,61.1,1,7.55,12967.16543,12265,1.8,1.8,0.816,15.3,11.95,4.8,3.7,
Hungary,2010,0,74.5,156,10.78,983.11,61.7,1,7.85,1325.53379,123,1.8,1.8,0.817,15.3,10.97,4.8,3.7,34.6
Hungary,2011,0,74.8,15,11.51,1063.43,62.4,1,7.84,1448.87958,9971727,1.7,1.7,0.821,15.4,11.5,4.7,3.7,
Hungary,2012,0,75,146,11.27,961.14,63,1,7.74,12834.32349,992362,1.7,1.7,0.823,15.4,11.9,4.4,3.6,
Hungary,2013,0,75.5,139,10.88,990.63,63.6,1,7.53,13613.6147,989382,1.7,1.7,0.824,15.4,11.8,4.1,3.6,
Hungary,2014,0,75.6,137,10.92,1006.16,64.2,0,7.4,14117.97668,9866468,1.7,1.6,0.834,15.8,12.65,4.1,3.6,
